rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	NA	tr|Q471H8|Q471H8_CUPPJ	27.129	3.34e-26	106	82	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2090453	2091388	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn02141 rxn02142 rxn03656 rxn04663 rxn06904 rxn07595 rxn15999 rxn16000 rxn16085 rxn16086 rxn20159 	NA	0	NA
RXN-18360	2,4-dichloro-cis,cis-muconate dehalogenase	5.5.1.11	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn03018 rxn03694 	NA	0	NA
RXN-18361	RXN-18361		NA									|14DICHLORBENZDEG-PWY|	spontaneous	NA	 	NA	0	NA
RXN-18362	RXN-18362		NA									|14DICHLORBENZDEG-PWY|	spontaneous	NA	 	NA	0	NA
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3	NA									|1CMET2-PWY|	no_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit 2	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3		UniRef50_A0A261EZ21	52.321	5.17e-60	200	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2082491	2083150	|1CMET2-PWY|	good_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
5-FORMYL-THF-CYCLO-LIGASE-RXN	5-formyltetrahydrofolate cyclo-ligase	6.3.3.2	NA	UniRef90_A0R3H2	36.453	8.25e-21	85.9	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1966406	1965813	|1CMET2-PWY|	bad_blast	NA	rxn01653 	NA	0	NA
1.5.1.20-RXN	5,10-methylenetetrahydrofolate reductase	1.5.1.20	NA									|1CMET2-PWY|	no_blast	NA	rxn00909 rxn00910 rxn04954 rxn31870 	Subunit 3	0	NA
1.5.1.20-RXN	5,10-methylenetetrahydrofolate reductase	1.5.1.20	NA									|1CMET2-PWY|	no_blast	NA	rxn00909 rxn00910 rxn04954 rxn31870 	Subunit 4	0	NA
1.5.1.20-RXN	5,10-methylenetetrahydrofolate reductase	1.5.1.20	NA									|1CMET2-PWY|	no_blast	NA	rxn00909 rxn00910 rxn04954 rxn31870 	Subunit undefined	0	NA
HOMOCYSMETB12-RXN	methionine synthase	2.1.1.13	NA									|1CMET2-PWY|	no_blast	NA	rxn00693 rxn16206 rxn33979 	NA	0	NA
GCVMULTI-RXN	gcv system	1.4.1.M2		sp|P0A9P0|DLDH_ECOLI	30.579	1.04e-57	203	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	905626	907059	|1CMET2-PWY|	good_blast	NA	 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A1A171	80.000	1.19e-147	454	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813564	812695	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A4FP42	54.110	2.85e-96	306	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813567	812692	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A1R451	58.537	1.31e-93	299	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812692	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A0LRU9	59.233	1.03e-90	291	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812692	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A0JTZ0	57.621	2.13e-90	290	89	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813504	812698	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A0QSY5	54.007	7.33e-87	279	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813561	812701	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A1SMP7	57.586	1.28e-82	267	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813567	812698	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A1SED2	52.759	1.93e-82	267	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813561	812692	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A1BF67	45.578	6.26e-74	243	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812698	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A4IQS0	45.517	6.23e-72	236	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812692	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A0LLR2	44.710	5.81e-71	234	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812695	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A0LE04	47.603	5.44e-71	234	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813564	812698	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A4SER8	44.674	4.61e-70	231	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812698	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A4VL74	44.027	1.30e-69	230	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813564	812701	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A0M554	43.345	2.36e-69	230	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813558	812695	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A3DEE6	41.034	2.13e-66	221	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812692	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A1K589	44.558	7.08e-66	219	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813564	812692	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A1VN60	43.357	4.75e-65	216	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812698	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A2SHP8	41.581	2.34e-63	212	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813564	812698	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A2C3L3	39.394	3.68e-62	209	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813564	812695	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A3N0Q7	40.278	1.47e-61	207	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812695	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A4G352	40.909	9.70e-61	204	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812698	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A1WUN4	43.860	3.26e-60	203	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812704	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A0RQ49	39.721	2.22e-60	203	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812695	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A3QFX8	41.319	5.16e-60	202	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812695	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A1S4X3	40.614	3.87e-60	202	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813567	812695	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A1JNX2	40.273	4.24e-59	200	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813564	812695	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A1A171	80.000	1.19e-147	454	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813564	812695	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A4FP42	54.110	2.85e-96	306	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813567	812692	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A1R451	58.537	1.31e-93	299	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812692	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A0LRU9	59.233	1.03e-90	291	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812692	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A0JTZ0	57.621	2.13e-90	290	89	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813504	812698	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A0QSY5	54.007	7.33e-87	279	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813561	812701	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A1SMP7	57.586	1.28e-82	267	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813567	812698	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A1SED2	52.759	1.93e-82	267	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813561	812692	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A1BF67	45.578	6.26e-74	243	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812698	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A4IQS0	45.517	6.23e-72	236	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812692	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A0LLR2	44.710	5.81e-71	234	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812695	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A0LE04	47.603	5.44e-71	234	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813564	812698	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A4SER8	44.674	4.61e-70	231	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812698	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A4VL74	44.027	1.30e-69	230	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813564	812701	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A0M554	43.345	2.36e-69	230	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813558	812695	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A3DEE6	41.034	2.13e-66	221	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812692	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A1K589	44.558	7.08e-66	219	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813564	812692	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A1VN60	43.357	4.75e-65	216	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812698	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A2SHP8	41.581	2.34e-63	212	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813564	812698	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A2C3L3	39.394	3.68e-62	209	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813564	812695	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A3N0Q7	40.278	1.47e-61	207	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812695	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A4G352	40.909	9.70e-61	204	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812698	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A1WUN4	43.860	3.26e-60	203	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812704	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A0RQ49	39.721	2.22e-60	203	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812695	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A3QFX8	41.319	5.16e-60	202	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813552	812695	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A1S4X3	40.614	3.87e-60	202	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813567	812695	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A1JNX2	40.273	4.24e-59	200	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	813564	812695	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
GLYOHMETRANS-RXN	5,10-methylenetetrahydrofolate:glycine hydroxymethyltransferase	2.1.2.1	NA									|1CMET2-PWY|	no_blast	NA	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	NA
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45		UniRef90_A0JZC7	68.773	5.16e-128	397	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2081575	2082378	|1CMET2-PWY|	good_blast	NA	rxn01520 rxn11007 rxn34042 	NA	0	1
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45		UniRef90_A1R8Y7	68.030	3.59e-125	389	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2081575	2082378	|1CMET2-PWY|	good_blast	NA	rxn01520 rxn11007 rxn34042 	NA	0	1
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45		UniRef90_A0PQG7	67.910	1.52e-125	389	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2081575	2082378	|1CMET2-PWY|	good_blast	NA	rxn01520 rxn11007 rxn34042 	NA	0	1
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45		UniRef90_A0QVR9	67.910	3.94e-123	382	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2081575	2082378	|1CMET2-PWY|	good_blast	NA	rxn01520 rxn11007 rxn34042 	NA	0	1
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45		UniRef90_A0KG32	66.792	4.47e-119	371	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2081587	2082378	|1CMET2-PWY|	good_blast	NA	rxn01520 rxn11007 rxn34042 	NA	0	1
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45		UniRef90_A1W5A4	64.338	6.54e-117	365	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2081587	2082378	|1CMET2-PWY|	good_blast	NA	rxn01520 rxn11007 rxn34042 	NA	0	1
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45		UniRef90_A1TM53	63.251	2.17e-115	361	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2081554	2082378	|1CMET2-PWY|	good_blast	NA	rxn01520 rxn11007 rxn34042 	NA	0	1
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45		UniRef90_A1S3W8	64.528	1.85e-114	358	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2081587	2082378	|1CMET2-PWY|	good_blast	NA	rxn01520 rxn11007 rxn34042 	NA	0	1
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45		UniRef90_A1VQZ6	63.043	8.03e-114	356	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2081575	2082378	|1CMET2-PWY|	good_blast	NA	rxn01520 rxn11007 rxn34042 	NA	0	1
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45		UniRef90_A2SHH0	61.397	1.93e-109	344	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2081587	2082378	|1CMET2-PWY|	good_blast	NA	rxn01520 rxn11007 rxn34042 	NA	0	1
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45		UniRef90_A1UTA5	61.509	1.44e-108	341	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2081587	2082378	|1CMET2-PWY|	good_blast	NA	rxn01520 rxn11007 rxn34042 	NA	0	1
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45		UniRef90_A1AWQ8	60.377	9.07e-106	333	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2081587	2082378	|1CMET2-PWY|	good_blast	NA	rxn01520 rxn11007 rxn34042 	NA	0	1
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45		UniRef90_A1WYP9	58.868	5.83e-103	325	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2081587	2082378	|1CMET2-PWY|	good_blast	NA	rxn01520 rxn11007 rxn34042 	NA	0	1
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45		UniRef90_A1KAF7	61.887	6.16e-102	322	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2081587	2082378	|1CMET2-PWY|	good_blast	NA	rxn01520 rxn11007 rxn34042 	NA	0	1
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45		UniRef90_A1JPC9	61.887	4.10e-102	322	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2081587	2082378	|1CMET2-PWY|	good_blast	NA	rxn01520 rxn11007 rxn34042 	NA	0	1
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45		UniRef90_A0Q7B4	55.755	6.34e-102	322	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2081587	2082378	|1CMET2-PWY|	good_blast	NA	rxn01520 rxn11007 rxn34042 	NA	0	1
