# gapseq version: 1.1 2f27651
# Transporter sequence DB md5sum: 878d922 (2021-07-07)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P76264|2.A.107.1.1	2.A.107.1.1	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|P76264|2.A.107.1.1	40.361	2.61e-31	116	86	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	3057181	3056690	transporter
gnl|TC-DB|O27840|2.A.107.1.2	2.A.107.1.2	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|O27840|2.A.107.1.2	38.922	2.55e-33	122	86	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	3057190	3056690	transporter
gnl|TC-DB|WP_100324686.1|2.A.107.1.4	2.A.107.1.4	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|WP_100324686.1|2.A.107.1.4	27.211	4.29e-09	52.0	75	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	3057163	3056723	transporter
gnl|TC-DB|WP_089030044.1|2.A.107.1.5	2.A.107.1.5	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|WP_089030044.1|2.A.107.1.5	30.263	9.42e-10	53.9	75	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	3057163	3056723	transporter
gnl|TC-DB|Q8F285|2.A.111.1.1	2.A.111.1.1	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q8F285|2.A.111.1.1	43.794	1.18e-91	303	82	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2444741	2443479	transporter
gnl|TC-DB|Q9K0M2|2.A.111.1.2	2.A.111.1.2	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q9K0M2|2.A.111.1.2	41.538	1.60e-88	293	92	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2444792	2443476	transporter
gnl|TC-DB|Q4QSA9|2.A.111.1.3	2.A.111.1.3	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q4QSA9|2.A.111.1.3	38.249	1.32e-70	243	78	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2444801	2443536	transporter
gnl|TC-DB|SHH76803.1|2.A.129.1.8	2.A.129.1.8	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|SHH76803.1|2.A.129.1.8	30.000	2.65e-11	57.4	87	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2498750	2498361	transporter
gnl|TC-DB|Q9X4A5|2.A.15.1.11	2.A.15.1.1	betaine	EX_cpd00540_e0	rxn05579,rxn08638,rxn12375,rxn11216	gnl|TC-DB|Q9X4A5|2.A.15.1.11	30.297	3.80e-47	173	90	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482567	2481182	transporter
gnl|TC-DB|Q9X4A5|2.A.15.1.11	2.A.15.1.1	glycine	EX_cpd00033_e0	rxn05582,rxn08660,rxn08661,rxn09748,rxn10537,rxn12379,rxn34381,rxn34382,rxn34466,rxn34502	gnl|TC-DB|Q9X4A5|2.A.15.1.11	30.297	3.80e-47	173	90	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482567	2481182	transporter
gnl|TC-DB|Q9X4A5|2.A.15.1.11	2.A.15.1.1	potassium	EX_cpd00205_e0	rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|TC-DB|Q9X4A5|2.A.15.1.11	30.297	3.80e-47	173	90	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482567	2481182	transporter
gnl|TC-DB|Q9X4A5|2.A.15.1.11	2.A.15.1.1	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q9X4A5|2.A.15.1.11	30.297	3.80e-47	173	90	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482567	2481182	transporter
gnl|TC-DB|P54582|2.A.15.1.10	2.A.15.1.10	betaine	EX_cpd00540_e0	rxn05579,rxn08638,rxn12375,rxn11216	gnl|TC-DB|P54582|2.A.15.1.10	27.601	3.06e-35	139	75	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482450	2481116	transporter
gnl|TC-DB|P54582|2.A.15.1.10	2.A.15.1.10	glycine	EX_cpd00033_e0	rxn05582,rxn08660,rxn08661,rxn09748,rxn10537,rxn12379,rxn34381,rxn34382,rxn34466,rxn34502	gnl|TC-DB|P54582|2.A.15.1.10	27.601	3.06e-35	139	75	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482450	2481116	transporter
gnl|TC-DB|P54582|2.A.15.1.10	2.A.15.1.10	potassium	EX_cpd00205_e0	rxn05595,rxn05596,rxn08769,rxn08770,rxn10820,rxn38724	gnl|TC-DB|P54582|2.A.15.1.10	27.601	3.06e-35	139	75	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482450	2481116	transporter
gnl|TC-DB|Q9X4A5|2.A.15.1.11	2.A.15.1.11	betaine	EX_cpd00540_e0	rxn05579,rxn08638,rxn12375,rxn11216	gnl|TC-DB|Q9X4A5|2.A.15.1.11	30.297	3.80e-47	173	90	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482567	2481182	transporter
gnl|TC-DB|Q9X4A5|2.A.15.1.11	2.A.15.1.11	glycine	EX_cpd00033_e0	rxn05582,rxn08660,rxn08661,rxn09748,rxn10537,rxn12379,rxn34381,rxn34382,rxn34466,rxn34502	gnl|TC-DB|Q9X4A5|2.A.15.1.11	30.297	3.80e-47	173	90	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482567	2481182	transporter
gnl|TC-DB|Q9X4A5|2.A.15.1.11	2.A.15.1.11	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q9X4A5|2.A.15.1.11	30.297	3.80e-47	173	90	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482567	2481182	transporter
gnl|TC-DB|Q6IUV3|2.A.15.1.12	2.A.15.1.12	betaine	EX_cpd00540_e0	rxn05579,rxn08638,rxn12375,rxn11216	gnl|TC-DB|Q6IUV3|2.A.15.1.12	29.289	5.43e-33	131	92	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482567	2481161	transporter
gnl|TC-DB|Q6IUV3|2.A.15.1.12	2.A.15.1.12	glycine	EX_cpd00033_e0	rxn05582,rxn08660,rxn08661,rxn09748,rxn10537,rxn12379,rxn34381,rxn34382,rxn34466,rxn34502	gnl|TC-DB|Q6IUV3|2.A.15.1.12	29.289	5.43e-33	131	92	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482567	2481161	transporter
gnl|TC-DB|Q79VE0|2.A.15.1.2	2.A.15.1.2	betaine	EX_cpd00540_e0	rxn05579,rxn08638,rxn12375,rxn11216	gnl|TC-DB|Q79VE0|2.A.15.1.2	25.051	1.14e-29	122	78	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482573	2481134	transporter
gnl|TC-DB|Q79VE0|2.A.15.1.2	2.A.15.1.2	glycine	EX_cpd00033_e0	rxn05582,rxn08660,rxn08661,rxn09748,rxn10537,rxn12379,rxn34381,rxn34382,rxn34466,rxn34502	gnl|TC-DB|Q79VE0|2.A.15.1.2	25.051	1.14e-29	122	78	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482573	2481134	transporter
gnl|TC-DB|Q79VE0|2.A.15.1.2	2.A.15.1.2	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|TC-DB|Q79VE0|2.A.15.1.2	25.051	1.14e-29	122	78	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482573	2481134	transporter
gnl|TC-DB|Q79VE0|2.A.15.1.2	2.A.15.1.2	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q79VE0|2.A.15.1.2	25.051	1.14e-29	122	78	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482573	2481134	transporter
gnl|TC-DB|D0U567|2.A.15.1.6	2.A.15.1.6	betaine	EX_cpd00540_e0	rxn05579,rxn08638,rxn12375,rxn11216	gnl|TC-DB|D0U567|2.A.15.1.6	25.104	5.36e-20	91.7	85	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482513	2481173	transporter
gnl|TC-DB|D0U567|2.A.15.1.6	2.A.15.1.6	glycine	EX_cpd00033_e0	rxn05582,rxn08660,rxn08661,rxn09748,rxn10537,rxn12379,rxn34381,rxn34382,rxn34466,rxn34502	gnl|TC-DB|D0U567|2.A.15.1.6	25.104	5.36e-20	91.7	85	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482513	2481173	transporter
gnl|TC-DB|D0U567|2.A.15.1.6	2.A.15.1.6	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|D0U567|2.A.15.1.6	25.104	5.36e-20	91.7	85	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482513	2481173	transporter
gnl|TC-DB|P31553|2.A.15.2.1	2.A.15.2.1	CARNITINE	EX_cpd00266_e0	rxn08262,rxn09691,rxn12364,rxn12605,rxn09773,rxn09858	gnl|TC-DB|P31553|2.A.15.2.1	28.628	9.03e-42	157	96	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482612	2481161	transporter
gnl|TC-DB|B4EY22|2.A.15.2.2	2.A.15.2.2	carnitine	EX_cpd00266_e0	rxn08262,rxn09691,rxn12364,rxn12605,rxn09773,rxn09858	gnl|TC-DB|B4EY22|2.A.15.2.2	28.994	2.83e-45	168	96	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2482648	2481164	transporter
gnl|TC-DB|P31639|2.A.1.7.26	2.A.1.7.26	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|P31639|2.A.1.7.26	22.464	1.01e-25	110	79	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2468755	2467274	transporter
gnl|TC-DB|P45394|2.A.19.5.1	2.A.19.5.1	calcium	EX_cpd00063_e0	rxn05514,rxn08185,rxn08188,rxn10448,rxn29257,rxn29824	gnl|TC-DB|P45394|2.A.19.5.1	35.254	1.17e-37	140	92	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	3056428	3055580	transporter
gnl|TC-DB|Q0ZAI3|2.A.19.5.2	2.A.19.5.2	calcium	EX_cpd00063_e0	rxn05514,rxn08185,rxn08188,rxn10448,rxn29257,rxn29824	gnl|TC-DB|Q0ZAI3|2.A.19.5.2	41.065	3.70e-35	132	82	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2264986	2264216	transporter
gnl|TC-DB|Q0ZAI3|2.A.19.5.2	2.A.19.5.2	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q0ZAI3|2.A.19.5.2	41.065	3.70e-35	132	82	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2264986	2264216	transporter
gnl|TC-DB|Q57556|2.A.19.5.3	2.A.19.5.3	calcium	EX_cpd00063_e0	rxn05514,rxn08185,rxn08188,rxn10448,rxn29257,rxn29824	gnl|TC-DB|Q57556|2.A.19.5.3	35.943	6.69e-35	131	88	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	3056428	3055595	transporter
gnl|TC-DB|Q57556|2.A.19.5.3	2.A.19.5.3	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q57556|2.A.19.5.3	35.943	6.69e-35	131	88	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	3056428	3055595	transporter
gnl|TC-DB|Q8TPA6|2.A.19.5.4	2.A.19.5.4	calcium	EX_cpd00063_e0	rxn05514,rxn08185,rxn08188,rxn10448,rxn29257,rxn29824	gnl|TC-DB|Q8TPA6|2.A.19.5.4	33.837	2.22e-37	140	94	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2264938	2264066	transporter
gnl|TC-DB|Q8TPA6|2.A.19.5.4	2.A.19.5.4	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q8TPA6|2.A.19.5.4	33.837	2.22e-37	140	94	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2264938	2264066	transporter
gnl|TC-DB|A7ZUZ0|2.A.2.1.1	2.A.2.1.1	melibiose	EX_cpd03198_e0	rxn05612,rxn08906,rxn08907,rxn29106	gnl|TC-DB|A7ZUZ0|2.A.2.1.1	32.096	3.55e-63	219	96	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	1479347	1480699	transporter
gnl|TC-DB|A7ZUZ0|2.A.2.1.1	2.A.2.1.1	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|A7ZUZ0|2.A.2.1.1	32.096	3.55e-63	219	96	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	1479347	1480699	transporter
gnl|TC-DB|P16256|2.A.21.1.1	2.A.21.1.1	pantothenate	EX_cpd00644_e0	rxn05308,rxn09165,rxn10180	gnl|TC-DB|P16256|2.A.21.1.1	26.115	1.23e-21	95.9	93	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2265337	2266674	transporter
gnl|TC-DB|B3W8U5|2.A.2.1.2	2.A.2.1.2	N-acetylglucosamine	EX_cpd00122_e0	rxn12630	gnl|TC-DB|B3W8U5|2.A.2.1.2	22.573	3.02e-12	66.2	89	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	1479443	1480720	transporter
gnl|TC-DB|P07117|2.A.21.2.1	2.A.21.2.1	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|TC-DB|P07117|2.A.21.2.1	38.523	5.61e-78	263	97	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2265331	2266773	transporter
gnl|TC-DB|Q7A4Q7|2.A.21.2.2	2.A.21.2.2	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|TC-DB|Q7A4Q7|2.A.21.2.2	39.715	5.73e-85	284	95	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2265355	2266776	transporter
gnl|TC-DB|Q7A4Q7|2.A.21.2.2	2.A.21.2.2	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q7A4Q7|2.A.21.2.2	39.715	5.73e-85	284	95	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2265355	2266776	transporter
gnl|TC-DB|Q9I5F5|2.A.21.2.3	2.A.21.2.3	L-proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|TC-DB|Q9I5F5|2.A.21.2.3	41.270	3.25e-102	334	98	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2265331	2266785	transporter
gnl|TC-DB|J7JIE8|2.A.21.2.4	2.A.21.2.4	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|TC-DB|J7JIE8|2.A.21.2.4	42.706	1.51e-98	322	99	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2265382	2266776	transporter
gnl|TC-DB|M1TZ79|2.A.21.2.5	2.A.21.2.5	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|TC-DB|M1TZ79|2.A.21.2.5	42.094	3.55e-103	336	98	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2265349	2266776	transporter
gnl|TC-DB|O24896|2.A.21.2.6	2.A.21.2.6	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|TC-DB|O24896|2.A.21.2.6	41.322	3.25e-97	319	97	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2265337	2266755	transporter
gnl|TC-DB|O24896|2.A.21.2.6	2.A.21.2.6	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|O24896|2.A.21.2.6	41.322	3.25e-97	319	97	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2265337	2266755	transporter
gnl|TC-DB|Q8PXA6|2.A.21.2.7	2.A.21.2.7	proline	EX_cpd00129_e0	rxn05221,rxn05638,rxn09191,rxn09192,rxn12451,rxn34526,rxn34527	gnl|TC-DB|Q8PXA6|2.A.21.2.7	42.857	1.01e-88	291	97	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2265562	2266776	transporter
gnl|TC-DB|Q8PXA6|2.A.21.2.7	2.A.21.2.7	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q8PXA6|2.A.21.2.7	42.857	1.01e-88	291	97	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2265562	2266776	transporter
gnl|TC-DB|Q8AAV7|2.A.21.3.19	2.A.21.3.1	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|Q8AAV7|2.A.21.3.19	26.715	2.33e-40	154	97	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2468845	2467277	transporter
gnl|TC-DB|Q8AAV7|2.A.21.3.19	2.A.21.3.1	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|Q8AAV7|2.A.21.3.19	26.715	2.33e-40	154	97	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2468845	2467277	transporter
gnl|TC-DB|Q8AAV7|2.A.21.3.19	2.A.21.3.1	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|Q8AAV7|2.A.21.3.19	26.715	2.33e-40	154	97	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2468845	2467277	transporter
gnl|TC-DB|Q8AAV7|2.A.21.3.19	2.A.21.3.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|Q8AAV7|2.A.21.3.19	26.715	2.33e-40	154	97	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2468845	2467277	transporter
gnl|TC-DB|Q8AAV7|2.A.21.3.19	2.A.21.3.1	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q8AAV7|2.A.21.3.19	26.715	2.33e-40	154	97	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2468845	2467277	transporter
gnl|TC-DB|A0PJK1|2.A.21.3.15	2.A.21.3.15	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|A0PJK1|2.A.21.3.15	20.437	7.71e-11	62.4	79	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2265334	2266626	transporter
gnl|TC-DB|A0PJK1|2.A.21.3.15	2.A.21.3.15	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|A0PJK1|2.A.21.3.15	20.437	7.71e-11	62.4	79	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2265334	2266626	transporter
gnl|TC-DB|P31639|2.A.21.3.16	2.A.21.3.16	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P31639|2.A.21.3.16	22.464	1.01e-25	110	79	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2468755	2467274	transporter
gnl|TC-DB|P31639|2.A.21.3.16	2.A.21.3.16	Sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|P31639|2.A.21.3.16	22.464	1.01e-25	110	79	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2468755	2467274	transporter
gnl|TC-DB|Q8AAV7|2.A.21.3.19	2.A.21.3.19	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|Q8AAV7|2.A.21.3.19	26.715	2.33e-40	154	97	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2468845	2467277	transporter
gnl|TC-DB|Q8AAV7|2.A.21.3.19	2.A.21.3.19	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|Q8AAV7|2.A.21.3.19	26.715	2.33e-40	154	97	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2468845	2467277	transporter
gnl|TC-DB|P31448|2.A.21.3.21	2.A.21.3.2	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|P31448|2.A.21.3.21	41.731	1.16e-106	349	87	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2468824	2467283	transporter
gnl|TC-DB|P31448|2.A.21.3.21	2.A.21.3.2	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P31448|2.A.21.3.21	41.731	1.16e-106	349	87	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2468824	2467283	transporter
gnl|TC-DB|P31448|2.A.21.3.21	2.A.21.3.2	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|P31448|2.A.21.3.21	41.731	1.16e-106	349	87	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2468824	2467283	transporter
gnl|TC-DB|P31448|2.A.21.3.21	2.A.21.3.21	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|P31448|2.A.21.3.21	41.731	1.16e-106	349	87	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2468824	2467283	transporter
gnl|TC-DB|Q2A687|2.A.21.3.22	2.A.21.3.22	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|Q2A687|2.A.21.3.22	26.860	2.07e-40	156	81	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2468761	2467274	transporter
gnl|TC-DB|Q2A687|2.A.21.3.22	2.A.21.3.22	Sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q2A687|2.A.21.3.22	26.860	2.07e-40	156	81	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2468761	2467274	transporter
gnl|TC-DB|Q2A679|2.A.21.3.23	2.A.21.3.23	sodium	EX_cpd00971_e0	rxn10576,rxn13753,rxn25832,rxn27363,rxn30509,rxn37569,rxn37570,rxn37571	gnl|TC-DB|Q2A679|2.A.21.3.23	27.613	1.13e-36	145	75	NC_012781.1 [Eubacterium] rectale ATCC 33656, complete sequence	2468755	2467361	transporter
