# gapseq version: 1.1 2f27651
# Transporter sequence DB md5sum: 878d922 (2021-07-07)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|F6QEC2|1.A.8.9.9	1.A.8.9.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|F6QEC2|1.A.8.9.9	32.114	2.98e-17	78.6	79	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1347684	1347004	transporter
gnl|TC-DB|C6L855|1.A.98.1.1	1.A.98.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|C6L855|1.A.98.1.1	28.000	0.47	25.0	86	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	604594	604752	transporter
gnl|TC-DB|Q50E47|1.A.98.1.2	1.A.98.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q50E47|1.A.98.1.2	34.043	1.3	22.7	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1374698	1374835	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0C931|1.C.32.2.2	61.538	0.70	20.8	93	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2221706	2221668	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0C931|1.C.32.2.2	61.538	0.70	20.8	93	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2221706	2221668	transporter
gnl|TC-DB|Q8TDX7|1.I.1.1.3	1.I.1.1.3	Potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8TDX7|1.I.1.1.3	28.175	2.47e-23	97.1	84	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1565586	1566317	transporter
gnl|TC-DB|Q8EDB6|2.A.102.3.4	2.A.102.3.4	glycine	EX_cpd00033_e0	rxn05582,rxn08660,rxn08661,rxn09748,rxn10537,rxn12379,rxn34381,rxn34382,rxn34466,rxn34502	gnl|TC-DB|Q8EDB6|2.A.102.3.4	20.543	0.066	30.8	79	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1047211	1046447	transporter
gnl|TC-DB|Q7KSC4|2.A.105.1.3	2.A.105.1.3	pyruvate	EX_cpd00020_e0	rxn05469,rxn09217,rxn09717,rxn09832	gnl|TC-DB|Q7KSC4|2.A.105.1.3	25.714	0.003	32.0	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	967748	968038	transporter
gnl|TC-DB|Q4N4U8|2.A.105.1.6	2.A.105.1.6	pyruvate	EX_cpd00020_e0	rxn05469,rxn09217,rxn09717,rxn09832	gnl|TC-DB|Q4N4U8|2.A.105.1.6	22.973	1.1	24.3	76	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	408623	408811	transporter
gnl|TC-DB|P76264|2.A.107.1.1	2.A.107.1.1	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|P76264|2.A.107.1.1	36.943	9.94e-28	105	82	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1318793	1319260	transporter
gnl|TC-DB|O27840|2.A.107.1.2	2.A.107.1.2	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|O27840|2.A.107.1.2	34.177	4.56e-23	92.0	83	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1318787	1319260	transporter
gnl|TC-DB|WP_100324686.1|2.A.107.1.4	2.A.107.1.4	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|WP_100324686.1|2.A.107.1.4	25.581	1.05e-09	53.5	90	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1318790	1319305	transporter
gnl|TC-DB|WP_089030044.1|2.A.107.1.5	2.A.107.1.5	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|WP_089030044.1|2.A.107.1.5	27.586	1.53e-12	61.6	90	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1318790	1319311	transporter
gnl|TC-DB|K3SRD7|2.A.108.2.10	2.A.108.2.10	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|K3SRD7|2.A.108.2.10	45.912	3.75e-37	132	83	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1407850	1407374	transporter
gnl|TC-DB|K3SRD7|2.A.108.2.10	2.A.108.2.10	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|K3SRD7|2.A.108.2.10	45.912	3.75e-37	132	83	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1407850	1407374	transporter
gnl|TC-DB|Q0P7X0|2.A.108.2.4	2.A.108.2.4	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|Q0P7X0|2.A.108.2.4	38.824	9.00e-28	105	85	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1407847	1407359	transporter
gnl|TC-DB|Q0P7X0|2.A.108.2.4	2.A.108.2.4	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|Q0P7X0|2.A.108.2.4	38.824	9.00e-28	105	85	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1407847	1407359	transporter
gnl|TC-DB|D1CHK8|2.A.108.2.6	2.A.108.2.6	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|D1CHK8|2.A.108.2.6	27.925	1.12e-07	49.7	78	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1409098	1408334	transporter
gnl|TC-DB|D1CHK8|2.A.108.2.6	2.A.108.2.6	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|D1CHK8|2.A.108.2.6	27.925	1.12e-07	49.7	78	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1409098	1408334	transporter
gnl|TC-DB|G7HJF5|2.A.108.2.9	2.A.108.2.9	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|G7HJF5|2.A.108.2.9	41.615	1.83e-28	107	80	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1407847	1407374	transporter
gnl|TC-DB|G7HJF5|2.A.108.2.9	2.A.108.2.9	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|G7HJF5|2.A.108.2.9	41.615	1.83e-28	107	80	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1407847	1407374	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|P46333|2.A.1.1.106	40.233	1.18e-82	275	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040174	2038894	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|P46333|2.A.1.1.106	40.233	1.18e-82	275	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040174	2038894	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	fructose	EX_cpd00082_e0	rxn09681	gnl|TC-DB|P46333|2.A.1.1.106	40.233	1.18e-82	275	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040174	2038894	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|P46333|2.A.1.1.106	40.233	1.18e-82	275	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040174	2038894	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	galacturonate	EX_cpd00280_e0	rxn05673,rxn08588	gnl|TC-DB|P46333|2.A.1.1.106	40.233	1.18e-82	275	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040174	2038894	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P46333|2.A.1.1.106	40.233	1.18e-82	275	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040174	2038894	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	glycerol	EX_cpd00100_e0	rxn12529,rxn34380	gnl|TC-DB|P46333|2.A.1.1.106	40.233	1.18e-82	275	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040174	2038894	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|P46333|2.A.1.1.106	40.233	1.18e-82	275	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040174	2038894	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	lactose	EX_cpd00208_e0	rxn08779,rxn08781,rxn10169	gnl|TC-DB|P46333|2.A.1.1.106	40.233	1.18e-82	275	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040174	2038894	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	maltose	EX_cpd00179_e0	rxn09673	gnl|TC-DB|P46333|2.A.1.1.106	40.233	1.18e-82	275	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040174	2038894	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	mannose	EX_cpd00138_e0	rxn05611	gnl|TC-DB|P46333|2.A.1.1.106	40.233	1.18e-82	275	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040174	2038894	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|TC-DB|P46333|2.A.1.1.106	40.233	1.18e-82	275	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040174	2038894	transporter
gnl|TC-DB|P46333|2.A.1.1.106	2.A.1.1.1	xylose	EX_cpd00154_e0	rxn05671,rxn09384	gnl|TC-DB|P46333|2.A.1.1.106	40.233	1.18e-82	275	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040174	2038894	transporter
gnl|TC-DB|Q56ZZ7|2.A.1.1.102	2.A.1.1.102	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|Q56ZZ7|2.A.1.1.102	31.707	2.77e-37	144	79	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040201	2038891	transporter
gnl|TC-DB|Q0WWW9|2.A.1.1.103	2.A.1.1.103	xylose	EX_cpd00154_e0	rxn05671,rxn09384	gnl|TC-DB|Q0WWW9|2.A.1.1.103	34.328	2.19e-49	181	82	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040213	2038888	transporter
gnl|TC-DB|P30606|2.A.1.1.104	2.A.1.1.104	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|P30606|2.A.1.1.104	31.056	1.46e-48	179	76	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040225	2038903	transporter
gnl|TC-DB|P32465|2.A.1.1.108	2.A.1.1.108	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P32465|2.A.1.1.108	34.409	3.17e-49	181	80	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040201	2038900	transporter
gnl|TC-DB|Q51330|2.A.1.11.1	2.A.1.11.1	FORMATE	EX_cpd00047_e0	rxn05559,rxn08524,rxn10860,rxn12422,rxn34214,rxn34215,rxn34216,rxn34459	gnl|TC-DB|Q51330|2.A.1.11.1	23.364	1.07e-12	66.6	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1594417	1595673	transporter
gnl|TC-DB|P23585|2.A.1.1.111	2.A.1.1.111	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|P23585|2.A.1.1.111	31.034	2.82e-48	177	84	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040201	2038900	transporter
gnl|TC-DB|Q9P3U6|2.A.1.1.112	2.A.1.1.112	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|Q9P3U6|2.A.1.1.112	29.677	1.96e-43	163	82	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040207	2038900	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.116	arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|C4B4V9|2.A.1.1.116	36.192	5.69e-73	248	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040282	2038888	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.116	arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|C4B4V9|2.A.1.1.116	36.192	5.69e-73	248	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040282	2038888	transporter
gnl|TC-DB|C4B4V9|2.A.1.1.116	2.A.1.1.116	xylose	EX_cpd00154_e0	rxn05671,rxn09384	gnl|TC-DB|C4B4V9|2.A.1.1.116	36.192	5.69e-73	248	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040282	2038888	transporter
gnl|TC-DB|G4N740|2.A.1.1.117	2.A.1.1.117	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|G4N740|2.A.1.1.117	34.244	1.16e-54	196	85	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040228	2038867	transporter
gnl|TC-DB|A2R3H2|2.A.1.1.119	2.A.1.1.119	galacturonate	EX_cpd00280_e0	rxn05673,rxn08588	gnl|TC-DB|A2R3H2|2.A.1.1.119	30.519	6.90e-44	163	88	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040195	2038903	transporter
gnl|TC-DB|E1WAV3|2.A.1.1.120	2.A.1.1.12	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|E1WAV3|2.A.1.1.120	33.630	1.79e-59	207	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040198	2038903	transporter
gnl|TC-DB|E1WAV3|2.A.1.1.120	2.A.1.1.12	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|E1WAV3|2.A.1.1.120	33.630	1.79e-59	207	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040198	2038903	transporter
gnl|TC-DB|E1WAV3|2.A.1.1.120	2.A.1.1.12	glycerol	EX_cpd00100_e0	rxn12529,rxn34380	gnl|TC-DB|E1WAV3|2.A.1.1.120	33.630	1.79e-59	207	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040198	2038903	transporter
gnl|TC-DB|E1WAV3|2.A.1.1.120	2.A.1.1.12	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|E1WAV3|2.A.1.1.120	33.630	1.79e-59	207	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040198	2038903	transporter
gnl|TC-DB|E1WAV3|2.A.1.1.120	2.A.1.1.12	mannose	EX_cpd00138_e0	rxn05611	gnl|TC-DB|E1WAV3|2.A.1.1.120	33.630	1.79e-59	207	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040198	2038903	transporter
gnl|TC-DB|E1WAV3|2.A.1.1.120	2.A.1.1.12	trehalose	EX_cpd00794_e0	rxn09655,rxn09870	gnl|TC-DB|E1WAV3|2.A.1.1.120	33.630	1.79e-59	207	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040198	2038903	transporter
gnl|TC-DB|E1WAV3|2.A.1.1.120	2.A.1.1.120	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|E1WAV3|2.A.1.1.120	33.630	1.79e-59	207	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040198	2038903	transporter
gnl|TC-DB|E1WAV4|2.A.1.1.121	2.A.1.1.121	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|E1WAV4|2.A.1.1.121	31.942	2.31e-51	184	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040246	2038867	transporter
gnl|TC-DB|AGG19156.1|2.A.1.1.122	2.A.1.1.122	sorbitol	EX_cpd00588_e0	rxn05648	gnl|TC-DB|AGG19156.1|2.A.1.1.122	32.527	8.27e-53	189	91	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040189	2038903	transporter
gnl|TC-DB|AIU41385.1|2.A.1.1.123	2.A.1.1.123	sorbitol	EX_cpd00588_e0	rxn05648	gnl|TC-DB|AIU41385.1|2.A.1.1.123	29.258	4.29e-51	184	89	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040201	2038903	transporter
gnl|TC-DB|Q9LT15|2.A.1.1.124	2.A.1.1.124	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|Q9LT15|2.A.1.1.124	31.478	3.81e-48	176	89	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040201	2038900	transporter
gnl|TC-DB|Q9LT15|2.A.1.1.124	2.A.1.1.124	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|Q9LT15|2.A.1.1.124	31.478	3.81e-48	176	89	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040201	2038900	transporter
gnl|TC-DB|Q9LT15|2.A.1.1.124	2.A.1.1.124	mannose	EX_cpd00138_e0	rxn05611	gnl|TC-DB|Q9LT15|2.A.1.1.124	31.478	3.81e-48	176	89	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040201	2038900	transporter
gnl|TC-DB|C4QVV9|2.A.1.1.125	2.A.1.1.125	glycerol	EX_cpd00100_e0	rxn12529,rxn34380	gnl|TC-DB|C4QVV9|2.A.1.1.125	25.577	7.82e-35	136	88	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040210	2038831	transporter
gnl|TC-DB|A8DCT2|2.A.1.1.126	2.A.1.1.126	inositol	EX_cpd00121_e0	rxn05593,rxn08752	gnl|TC-DB|A8DCT2|2.A.1.1.126	31.195	1.14e-47	176	77	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2040207	2038903	transporter
